Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%,day,week,month,year
2022-12-30,1.8262,1.8218,1.8324,1.8198,10750000.0,0.01,30,52,12,2022
2022-12-29,1.826,1.8123,1.8273,1.8112,10599000.0,0.56,29,52,12,2022
2022-12-28,1.8158,1.8224,1.8228,1.8042,11808000.0,-0.4,28,52,12,2022
2022-12-27,1.8231,1.8082,1.8419,1.808,15962000.0,0.74,27,52,12,2022
2022-12-23,1.8042,1.801,1.8122,1.7989,10546000.0,0.5,23,51,12,2022
2022-12-22,1.7953,1.8238,1.8293,1.7927,17577000.0,-1.65,22,51,12,2022
2022-12-21,1.8254,1.8279,1.8338,1.8213,11018000.0,0.0,21,51,12,2022
2022-12-20,1.8254,1.7968,1.8324,1.7937,19750000.0,1.54,20,51,12,2022
2022-12-19,1.7977,1.8016,1.8086,1.7932,8609000.0,-0.14,19,51,12,2022
2022-12-16,1.8002,1.7869,1.8042,1.7839,12875000.0,0.69,16,50,12,2022
2022-12-15,1.7878,1.8187,1.8197,1.782,18532000.0,-1.7,15,50,12,2022
2022-12-14,1.8187,1.8226,1.8254,1.8062,14380000.0,-0.37,14,50,12,2022
2022-12-13,1.8255,1.7923,1.8369,1.7918,23091000.0,1.85,13,50,12,2022
2022-12-12,1.7923,1.808,1.8093,1.789,10778000.0,-1.02,12,50,12,2022
2022-09-12,1.8107,1.8019,1.819,1.8001,15094000.0,0.51,12,37,9,2022
2022-08-12,1.8015,1.7995,1.8069,1.7932,11627000.0,0.19,12,32,8,2022
2022-07-12,1.798,1.7833,1.8032,1.7805,15557000.0,0.88,12,28,7,2022
2022-06-12,1.7824,1.7808,1.7932,1.7791,12786000.0,0.06,12,23,6,2022
2022-05-12,1.7813,1.8105,1.8229,1.7781,17982000.0,-1.56,12,19,5,2022
2022-02-12,1.8096,1.817,1.8187,1.7918,18372000.0,-0.31,12,6,2,2022
2022-01-12,1.8152,1.7831,1.8184,1.7829,22615000.0,3.14,12,2,1,2022
2022-11-30,1.7599,1.7634,1.7842,1.7582,19224000.0,-0.22,30,48,11,2022
2022-11-29,1.7637,1.7546,1.7734,1.7529,12732000.0,1.34,29,48,11,2022
2022-11-28,1.7403,1.755,1.7635,1.7382,13277000.0,-0.78,28,48,11,2022
2022-11-25,1.754,1.751,1.7612,1.7459,13430000.0,0.0,25,47,11,2022
2022-11-24,1.754,1.751,1.7612,1.7459,13430000.0,0.48,24,47,11,2022
2022-11-23,1.7456,1.7408,1.7549,1.719,16777000.0,0.33,23,47,11,2022
2022-11-22,1.7399,1.7397,1.751,1.7376,15309000.0,0.02,22,47,11,2022
2022-11-21,1.7396,1.752,1.755,1.7339,16608000.0,-0.84,21,47,11,2022
2022-11-18,1.7544,1.7631,1.7699,1.7492,13733000.0,-0.49,18,46,11,2022
2022-11-17,1.763,1.777,1.7776,1.7566,16910000.0,-0.72,17,46,11,2022
2022-11-16,1.7758,1.782,1.7882,1.7734,20076000.0,-0.06,16,46,11,2022
2022-11-15,1.7768,1.774,1.7918,1.7702,28302000.0,-0.01,15,46,11,2022
2022-11-14,1.7769,1.7694,1.7784,1.7558,19135000.0,0.42,14,46,11,2022
2022-11-11,1.7694,1.7583,1.7756,1.7503,22704000.0,0.9,11,45,11,2022
